Pos,[0-10),[10-20),[20-30),[30-40]
1,0.1,0.7,2.6,96.6
2,0.2,0.9,3.1,95.8
3,0.1,0.8,2.9,96.2
4,0.1,0.8,2.9,96.3
5,0.1,0.8,3,96.1
6,0.1,0.8,3,96.1
7,0.1,0.8,3,96.1
8,0.1,0.8,3,96.1
9,0.1,0.8,2.9,96.1
10,0.1,0.8,3,96.1
11,0.1,0.8,3,96.1
12,0.1,0.8,3,96.1
13,0.1,0.8,3,96.1
14,0.1,0.8,2.9,96.1
15,0.1,0.8,2.9,96.1
16,0.1,0.8,2.9,96.1
17,0.1,0.8,2.9,96.1
18,0.1,0.8,2.9,96.1
19,0.1,0.8,2.9,96.1
20,0.1,0.8,2.9,96.1
21,0.1,0.8,2.9,96.1
22,0.1,0.8,2.9,96.1
23,0.1,0.8,2.9,96.1
24,0.1,0.8,2.9,96.2
25,0.1,0.8,2.9,96.1
26,0.1,0.8,2.9,96.1
27,0.1,0.8,2.9,96.1
28,0.1,0.8,2.9,96.2
29,0.1,0.8,2.9,96.1
30,0.2,1,3,95.9
31,0.1,0.8,2.9,96.1
32,0.1,0.8,2.9,96.2
33,0.1,0.8,2.9,96.2
34,0.1,0.8,2.9,96.1
35,0.1,0.8,2.9,96.2
36,0.1,0.8,2.9,96.2
37,0.1,0.8,2.9,96.1
38,0.1,0.8,2.9,96.1
39,0.1,0.8,2.9,96.2
40,0.1,0.8,2.9,96.1
41,0.2,0.8,2.9,96.1
42,0.2,0.8,2.9,96.1
43,0.2,0.8,2.9,96.1
44,0.2,0.8,2.9,96.1
45,0.2,0.8,2.9,96.1
46,0.2,0.8,2.9,96.1
47,0.2,0.8,2.9,96.1
48,0.2,0.8,2.9,96.1
49,0.2,0.8,2.9,96.1
50,0.2,0.8,2.9,96.1
51,0.2,0.8,2.9,96.1
52,0.2,0.9,2.9,96.1
53,0.2,0.9,2.9,96.1
54,0.2,0.9,2.9,96.1
55,0.2,0.9,2.9,96.1
56,0.2,0.9,2.9,96.1
57,0.2,0.9,2.9,96.1
58,0.2,0.9,2.9,96.1
59,0.2,0.9,2.9,96.1
60,0.2,0.9,2.9,96.1
61,0.2,0.9,2.9,96
62,0.2,0.9,2.9,96
63,0.2,0.9,2.9,96
64,0.2,0.9,2.9,96
65,0.2,0.9,2.9,96
66,0.2,0.9,2.9,96
67,0.2,0.9,2.9,96
68,0.2,0.9,2.9,96
69,0.2,0.9,2.9,96
70,0.2,0.9,2.9,96
71,0.2,0.9,2.9,96
72,0.2,0.9,2.9,96
73,0.2,0.9,2.9,96
74,0.2,0.9,2.9,96
75,0.2,0.9,2.9,95.9
76,0.2,0.9,2.9,95.9
77,0.2,0.9,3,95.9
78,0.2,0.9,2.9,95.9
79,0.2,0.9,2.9,95.9
80,0.2,0.9,3,95.9
81,0.2,0.9,3,95.9
82,0.2,1,3,95.9
83,0.2,1,3,95.9
84,0.2,1,3,95.9
85,0.2,1,3,95.9
86,0.2,1,3,95.8
87,0.2,1,3,95.8
88,0.2,1,3,95.8
89,0.2,1,3,95.8
90,0.2,1,3,95.8
91,0.2,1,3,95.8
92,0.2,1,3,95.8
93,0.2,1,3,95.8
94,0.2,1,3,95.7
95,0.2,1,3,95.7
96,0.2,1,3,95.7
97,0.2,1,3,95.7
98,0.2,1,3.1,95.7
99,0.2,1,3.1,95.7
100,0.2,1,3.1,95.7
101,0.3,1.1,3,95.5
102,0.3,1.1,3.1,95.5
103,0.3,1.1,3.1,95.5
104,0.3,1.1,3.1,95.6
105,0.3,1.1,3.1,95.6
106,0.3,1.1,3.1,95.5
107,0.3,1.1,3.1,95.5
108,0.3,1.1,3.1,95.5
109,0.3,1.1,3.1,95.5
110,0.3,1.1,3.1,95.5
111,0.2,1,2.7,96.1
112,0.2,0.9,3.3,95.6
113,0.1,0.8,3,96.1
114,0.1,0.8,2.9,96.2
115,0.2,0.8,3,96
116,0.2,0.8,3,96
117,0.2,0.8,3.1,95.9
118,0.2,0.8,3,95.9
