Pos,[0-10),[10-20),[20-30),[30-40]
1,0.1,0.5,1.5,97.9
2,0.1,0.5,1.9,97.5
3,0.1,0.4,1.6,97.9
4,0.1,0.4,1.6,98
5,0.1,0.4,1.6,97.9
6,0.1,0.4,1.6,97.9
7,0.1,0.4,1.7,97.8
8,0.1,0.4,1.6,97.9
9,0.1,0.4,1.6,97.9
10,0.1,0.4,1.6,97.9
11,0.1,0.4,1.7,97.9
12,0.1,0.4,1.6,97.9
13,0.1,0.4,1.6,97.9
14,0.1,0.4,1.6,97.9
15,0.1,0.4,1.6,97.9
16,0.1,0.4,1.6,97.9
17,0.1,0.4,1.6,97.9
18,0.1,0.4,1.6,97.9
19,0.1,0.4,1.6,97.9
20,0.1,0.4,1.6,97.9
21,0.1,0.4,1.6,97.9
22,0.1,0.4,1.6,97.9
23,0.1,0.4,1.6,97.9
24,0.1,0.4,1.6,97.9
25,0.1,0.4,1.6,97.9
26,0.1,0.4,1.7,97.8
27,0.1,0.4,1.7,97.9
28,0.1,0.4,1.7,97.8
29,0.1,0.4,1.7,97.8
30,0.1,0.4,1.7,97.8
31,0.1,0.4,1.7,97.8
32,0.1,0.4,1.7,97.8
33,0.1,0.4,1.7,97.8
34,0.1,0.4,1.7,97.8
35,0.1,0.4,1.7,97.8
36,0.1,0.4,1.7,97.8
37,0.1,0.4,1.7,97.8
38,0.1,0.4,1.7,97.8
39,0.1,0.4,1.7,97.8
40,0.1,0.5,1.7,97.8
41,0.1,0.5,1.7,97.8
42,0.1,0.5,1.7,97.6
43,0.1,0.5,1.7,97.7
44,0.1,0.5,1.7,97.7
45,0.1,0.5,1.7,97.7
46,0.1,0.5,1.7,97.7
47,0.1,0.5,1.7,97.7
48,0.1,0.5,1.7,97.7
49,0.1,0.5,1.8,97.7
50,0.1,0.5,1.7,97.7
51,0.1,0.5,1.8,97.7
52,0.1,0.5,1.8,97.7
53,0.1,0.5,1.8,97.6
54,0.1,0.5,1.8,97.6
55,0.1,0.5,1.8,97.6
56,0.1,0.5,1.8,97.6
57,0.1,0.5,1.8,97.6
58,0.1,0.5,1.8,97.5
59,0.1,0.5,1.8,97.5
60,0.1,0.5,1.8,97.5
61,0.1,0.5,1.8,97.5
62,0.1,0.5,1.8,97.5
63,0.1,0.6,1.9,97.5
64,0.1,0.5,1.9,97.5
65,0.1,0.6,1.9,97.5
66,0.1,0.6,1.9,97.4
67,0.1,0.5,1.9,97.5
68,0.1,0.6,1.9,97.4
69,0.1,0.6,1.9,97.4
70,0.1,0.6,1.9,97.4
71,0.1,0.6,1.9,97.4
72,0.1,0.6,1.9,97.4
73,0.1,0.6,1.9,97.4
74,0.1,0.6,2,97.3
75,0.1,0.6,2,97.3
76,0.1,0.6,2,97.3
77,0.1,0.6,2,97.3
78,0.1,0.6,2,97.3
79,0.1,0.6,2,97.3
80,0.1,0.6,2,97.2
81,0.1,0.6,2,97.2
82,0.1,0.6,2,97.2
83,0.1,0.6,2.1,97.2
84,0.1,0.7,2.1,97.1
85,0.2,0.7,2.1,97.1
86,0.2,0.7,2.1,97.1
87,0.2,0.7,2.1,97
88,0.2,0.7,2.1,97
89,0.2,0.7,2.1,97
90,0.2,0.7,2.2,97
91,0.2,0.7,2.2,96.9
92,0.2,0.7,2.2,96.9
93,0.2,0.7,2.2,96.8
94,0.2,0.7,2.2,96.8
95,0.2,0.7,2.2,96.8
96,0.2,0.8,2.3,96.8
97,0.2,0.8,2.3,96.7
98,0.2,0.8,2.3,96.7
99,0.2,0.8,2.4,96.6
100,0.2,0.8,2.4,96.6
101,0.2,0.8,2.4,96.6
102,0.2,0.8,2.4,96.6
103,0.2,0.9,2.4,96.5
104,0.2,0.9,2.4,96.5
105,0.2,0.9,2.4,96.5
106,0.2,0.9,2.5,96.4
107,0.2,0.9,2.5,96.4
108,0.2,0.9,2.5,96.3
109,0.1,0.6,2.7,96.6
110,0.1,0.7,3.1,96.2
111,0.1,0.6,2.8,96.6
112,0,0.5,2.7,96.7
113,0.1,0.5,2.8,96.6
114,0.1,0.6,2.9,96.5
115,0.1,0.6,2.8,96.5
116,0.1,0.6,2.8,96.5
117,0.1,0.6,2.8,96.5
118,0.1,0.6,2.9,96.5
